@relation mermer4ysciHist-lbp

@attribute Mean numeric
@attribute ' Varyans' numeric
@attribute ' Skewness' numeric
@attribute ' Kurtosis' numeric
@attribute ' Energy1' numeric
@attribute ' Entropy' numeric
@attribute ' Contrast' numeric
@attribute ' Energy2' numeric
@attribute ' Homogeneity' numeric
@attribute ' Correlation' numeric
@attribute ' x0' numeric
@attribute ' x1' numeric
@attribute ' x2' numeric
@attribute ' x3' numeric
@attribute ' x4' numeric
@attribute ' x5' numeric
@attribute ' x6' numeric
@attribute ' x7' numeric
@attribute ' x8' numeric
@attribute ' x9' numeric
@attribute ' x10' numeric
@attribute ' x11' numeric
@attribute ' x12' numeric
@attribute ' x13' numeric
@attribute ' x14' numeric
@attribute ' x15' numeric
@attribute ' x16' numeric
@attribute ' x17' numeric
@attribute ' class ' {' rossolevanto',' onyx',' keivan',' black'}

@data
145.83,27.98,0.13,1.99,0.01,-6.73,0.14,0.47,0.93,0.92,0.0528,0.0456,0.0234,0.0163,0.0145,0.018,0.0246,0.0357,0.0436,0.0411,0.0262,0.0213,0.0157,0.0182,0.0227,0.0425,0.0518,0.4852,' onyx'
175.07,17.36,-0.77,3.43,0.02,-6.07,0.11,0.64,0.94,0.85,0.0628,0.0524,0.0262,0.0179,0.0146,0.0155,0.0162,0.0182,0.0192,0.0214,0.0171,0.0178,0.017,0.0207,0.0274,0.0469,0.064,0.5237,' onyx'
152.56,24.57,-0.03,3.02,0.01,-6.49,0.11,0.54,0.95,0.92,0.0548,0.0461,0.0268,0.0208,0.019,0.0189,0.0214,0.0252,0.0292,0.0298,0.022,0.021,0.0181,0.0208,0.028,0.0419,0.0579,0.4975,' onyx'
184.63,11.29,-0.84,3.45,0.03,-5.42,0.12,0.66,0.94,0.78,0.0615,0.0498,0.0286,0.018,0.0166,0.0166,0.0185,0.0212,0.0214,0.0234,0.0164,0.0163,0.0149,0.0194,0.0281,0.0487,0.062,0.5176,' onyx'
181.57,12.59,-0.82,3.84,0.02,-5.61,0.14,0.69,0.93,0.71,0.0626,0.0532,0.025,0.0168,0.0143,0.0146,0.0148,0.0157,0.0172,0.019,0.0139,0.0145,0.0143,0.0169,0.0239,0.0488,0.0642,0.5494,' onyx'
163.69,14,-0.77,3.57,0.02,-5.77,0.11,0.68,0.94,0.78,0.0653,0.0534,0.0265,0.017,0.0143,0.0136,0.0138,0.0148,0.0157,0.0175,0.0133,0.014,0.0138,0.0187,0.0285,0.0491,0.0652,0.5445,' onyx'
159.65,22.59,-0.26,3.65,0.01,-6.39,0.12,0.58,0.94,0.89,0.057,0.0488,0.0276,0.0186,0.0169,0.0182,0.0213,0.025,0.0274,0.029,0.0233,0.0206,0.0182,0.0204,0.0267,0.0446,0.058,0.4974,' onyx'
159.7,24.47,-0.31,2.01,0.01,-6.47,0.14,0.53,0.93,0.89,0.0609,0.0501,0.0286,0.0199,0.0182,0.0168,0.0191,0.0214,0.022,0.0225,0.0184,0.0177,0.0173,0.0197,0.0287,0.0452,0.0616,0.5112,' onyx'
136.26,20.72,-0.21,2.62,0.01,-6.4,0.18,0.53,0.91,0.82,0.0635,0.0502,0.0255,0.017,0.0157,0.016,0.0164,0.0192,0.0211,0.0218,0.0177,0.0177,0.0169,0.0197,0.0266,0.0464,0.0599,0.5278,' onyx'
161.01,24.78,-0.55,2.49,0.01,-6.55,0.19,0.51,0.91,0.86,0.0684,0.0522,0.0231,0.0177,0.0138,0.0135,0.0158,0.0204,0.0241,0.0248,0.0175,0.0181,0.0149,0.0201,0.0241,0.0476,0.0617,0.5215,' onyx'
164.55,24.8,0.45,3.83,0.01,-6.6,0.18,0.53,0.92,0.86,0.0534,0.046,0.0235,0.0171,0.0148,0.0189,0.0253,0.0372,0.0508,0.04,0.0242,0.0191,0.0145,0.0178,0.0237,0.043,0.058,0.4718,' onyx'
190.83,14.73,-0.86,4.13,0.02,-5.81,0.14,0.61,0.93,0.79,0.0622,0.0531,0.0224,0.0141,0.0119,0.013,0.0186,0.0283,0.0443,0.0346,0.0225,0.0162,0.0121,0.0133,0.0191,0.0462,0.0598,0.5074,' onyx'
166.92,23.5,-0.19,4.05,0.01,-6.55,0.23,0.51,0.9,0.81,0.0569,0.0479,0.0272,0.0169,0.0154,0.0183,0.0226,0.0365,0.0467,0.0382,0.0238,0.019,0.0151,0.0186,0.0254,0.0446,0.0545,0.4716,' onyx'
142.39,30.59,0.48,2.74,0.01,-6.9,0.31,0.41,0.87,0.84,0.0641,0.0528,0.0248,0.0165,0.0149,0.0158,0.0194,0.0241,0.028,0.0266,0.0177,0.0154,0.014,0.0185,0.0256,0.0486,0.0632,0.5091,' onyx'
152.7,22.63,0.24,3.34,0.01,-6.52,0.21,0.52,0.9,0.82,0.0559,0.0461,0.0245,0.0171,0.0165,0.0189,0.0229,0.0311,0.0386,0.0346,0.0197,0.017,0.014,0.0164,0.0217,0.0478,0.0605,0.4957,' onyx'
127.32,28.74,0.11,2.33,0.01,-6.83,0.17,0.47,0.93,0.91,0.0559,0.0436,0.0293,0.0204,0.0195,0.0216,0.0258,0.0365,0.046,0.0417,0.0277,0.0224,0.0192,0.0207,0.0274,0.0421,0.0528,0.4468,' onyx'
138.62,37.52,0.41,2.06,0.01,-7.09,0.23,0.41,0.9,0.92,0.0594,0.0482,0.0255,0.0179,0.0164,0.0185,0.0231,0.0301,0.038,0.0348,0.023,0.0191,0.0173,0.0192,0.026,0.045,0.0575,0.4802,' onyx'
135.27,28.61,0.32,4.12,0.01,-6.8,0.22,0.49,0.91,0.88,0.0561,0.047,0.0238,0.0173,0.0166,0.0184,0.0243,0.0314,0.0398,0.0339,0.0213,0.0186,0.0149,0.0163,0.0226,0.048,0.0607,0.4881,' onyx'
174.34,5.19,0.62,4.2,0.06,-4.37,0.01,0.99,1,0.59,0.0517,0.0405,0.0272,0.0208,0.019,0.0217,0.0221,0.025,0.0265,0.0305,0.0239,0.0234,0.0231,0.0258,0.0325,0.044,0.0613,0.4801,' keivan'
141.93,4.43,-0.36,2.51,0.07,-4.17,0.01,0.99,1,0.49,0.054,0.0454,0.0271,0.0189,0.0165,0.0176,0.0186,0.0205,0.0193,0.0217,0.0176,0.0176,0.0162,0.0201,0.0324,0.0489,0.064,0.5226,' keivan'
141.93,4.43,-0.36,2.51,0.07,-4.16,0.01,0.99,1,0.46,0.0528,0.0459,0.0266,0.0193,0.0167,0.0182,0.0194,0.0196,0.0199,0.0228,0.0174,0.0186,0.0167,0.0207,0.0317,0.0487,0.0634,0.5206,' keivan'
135.41,4.69,-0.24,1.93,0.06,-4.26,0.04,0.94,0.98,0.59,0.0591,0.0464,0.0279,0.0189,0.0153,0.0156,0.0154,0.0157,0.0161,0.0199,0.014,0.0165,0.0155,0.0207,0.0302,0.05,0.0668,0.5351,' keivan'
151.85,8.38,-0.61,2.78,0.04,-5.01,0.05,0.82,0.97,0.81,0.0577,0.0464,0.0282,0.0202,0.0166,0.0172,0.0179,0.0194,0.0197,0.0229,0.0169,0.0165,0.0164,0.0204,0.0303,0.0476,0.0656,0.5193,' keivan'
155.42,4.3,-0.51,3.2,0.07,-4.1,0.08,0.82,0.96,0.69,0.059,0.0471,0.0253,0.0199,0.0159,0.0165,0.0172,0.0181,0.0176,0.0209,0.0164,0.018,0.0171,0.0198,0.0296,0.0503,0.0645,0.5258,' keivan'
146.85,6.63,-0.32,2.87,0.04,-4.74,0.01,0.98,0.99,0.47,0.0583,0.0461,0.0269,0.0201,0.0166,0.017,0.0158,0.0159,0.0155,0.0206,0.0155,0.0175,0.0172,0.0213,0.0319,0.0492,0.0669,0.5267,' keivan'
150.16,4.31,-0.29,7.13,0.08,-4.03,0.01,0.98,0.99,0.63,0.0567,0.0484,0.0272,0.0186,0.015,0.0151,0.0161,0.0157,0.0164,0.0202,0.0148,0.0162,0.0157,0.0197,0.031,0.0528,0.0671,0.5324,' keivan'
139.75,5.98,-0.31,4.24,0.05,-4.52,0.03,0.95,0.98,0.57,0.0627,0.0509,0.0261,0.0166,0.0135,0.0123,0.0108,0.01,0.0108,0.0144,0.0102,0.0129,0.0129,0.0177,0.0276,0.0553,0.069,0.5655,' keivan'
143.85,4.04,-0.15,3.74,0.08,-3.99,0,0.99,1,0.56,0.0551,0.0473,0.0254,0.0181,0.0142,0.0154,0.0148,0.0168,0.0173,0.0201,0.0159,0.0174,0.0163,0.0209,0.0324,0.0508,0.0674,0.5336,' keivan'
147.66,5.23,-0.28,2.94,0.06,-4.4,0.01,0.99,1,0.61,0.057,0.0455,0.0264,0.0183,0.0152,0.0167,0.0166,0.0197,0.0194,0.022,0.0174,0.0187,0.0168,0.022,0.0302,0.0498,0.0643,0.523,' keivan'
167.04,13.55,-0.91,2.72,0.03,-5.37,0.01,0.78,0.99,0.96,0.0496,0.0401,0.0268,0.0217,0.0196,0.0221,0.0246,0.0276,0.0293,0.0319,0.0253,0.0264,0.022,0.0248,0.0296,0.0432,0.0589,0.4759,' keivan'
146.04,5.13,-0.14,5.34,0.06,-4.34,0.01,0.98,1,0.63,0.0537,0.0466,0.0261,0.0175,0.0147,0.0178,0.0188,0.0216,0.0208,0.0231,0.0183,0.0195,0.0184,0.0229,0.0314,0.0494,0.0627,0.5158,' keivan'
182.26,5.84,0.91,5.14,0.06,-4.51,0.02,0.93,0.99,0.8,0.0524,0.0437,0.0286,0.0213,0.019,0.0205,0.0226,0.0261,0.0268,0.0293,0.0247,0.0239,0.0229,0.0245,0.0317,0.0442,0.0613,0.4757,' keivan'
149.78,9.94,-1.49,5.69,0.05,-4.98,0.05,0.85,0.97,0.78,0.0499,0.0449,0.0245,0.0187,0.0177,0.0197,0.022,0.027,0.0281,0.0324,0.0227,0.0226,0.0199,0.0229,0.027,0.0467,0.0592,0.4933,' keivan'
177.16,6.03,0.7,4.82,0.05,-4.58,0.01,0.98,1,0.8,0.0535,0.0464,0.0285,0.022,0.0178,0.0176,0.0195,0.0221,0.0222,0.0258,0.0217,0.0221,0.021,0.024,0.0315,0.0462,0.0646,0.4925,' keivan'
144.39,10.56,-1.58,5.61,0.04,-5.04,0.02,0.89,0.99,0.89,0.0557,0.0467,0.0261,0.0192,0.0172,0.0191,0.0183,0.0218,0.0204,0.0235,0.0182,0.0176,0.0157,0.0199,0.0285,0.0492,0.063,0.519,' keivan'
171.12,5.72,-0.12,1.87,0.05,-4.54,0.01,0.97,0.99,0.64,0.0554,0.0466,0.0277,0.0201,0.0168,0.0169,0.0168,0.0181,0.0191,0.023,0.0213,0.0217,0.0212,0.0264,0.0321,0.0464,0.0671,0.5023,' keivan'
167.6,14.29,-1.18,3.43,0.04,-5.29,0.02,0.79,0.99,0.97,0.0489,0.042,0.0275,0.0229,0.0216,0.0221,0.0225,0.026,0.027,0.0305,0.0257,0.0254,0.0224,0.0248,0.0312,0.0446,0.0588,0.4752,' keivan'
146.32,5.59,-0.31,2.43,0.05,-4.47,0,0.99,1,0.58,0.0527,0.0438,0.0261,0.0208,0.0187,0.0199,0.0205,0.0219,0.0217,0.0264,0.0198,0.0215,0.0193,0.0227,0.0321,0.0466,0.0629,0.5017,' keivan'
185.91,15.18,-1.29,5.78,0.02,-5.8,0.27,0.53,0.87,0.63,0.0818,0.0644,0.0186,0.0118,0.0093,0.0073,0.0061,0.0068,0.0067,0.0094,0.0064,0.0084,0.0099,0.0156,0.027,0.0529,0.0758,0.5809,' keivan'
204.59,14.51,-0.99,3.73,0.02,-5.71,0.14,0.73,0.93,0.67,0.0766,0.0601,0.0186,0.0116,0.0095,0.0091,0.0082,0.0096,0.0103,0.0136,0.0102,0.0119,0.0115,0.0165,0.0247,0.0528,0.0694,0.575,' keivan'
214.9,7.75,-1.73,10.84,0.05,-4.78,0.08,0.85,0.96,0.63,0.0655,0.0578,0.0202,0.0124,0.0096,0.009,0.0087,0.0085,0.0095,0.0136,0.0095,0.0125,0.0124,0.0174,0.0286,0.0537,0.0697,0.5806,' keivan'
202.29,16.19,-1.34,6.07,0.02,-5.89,0.19,0.7,0.91,0.68,0.0779,0.064,0.0155,0.008,0.0059,0.0058,0.0055,0.0063,0.0077,0.0109,0.0073,0.0098,0.0104,0.0151,0.0248,0.0538,0.0679,0.6026,' keivan'
211.91,11.23,-1.65,7.04,0.04,-5.25,0.16,0.79,0.93,0.47,0.0825,0.0637,0.0218,0.0126,0.0093,0.0076,0.0063,0.0067,0.0067,0.0098,0.0061,0.0077,0.0073,0.0125,0.0213,0.0577,0.0785,0.5811,' keivan'
201.85,15.08,-1.09,5.02,0.02,-5.83,0.26,0.69,0.88,0.47,0.0865,0.069,0.0142,0.0083,0.0061,0.0054,0.0051,0.0055,0.0067,0.0099,0.0058,0.0075,0.008,0.0135,0.0204,0.0556,0.0738,0.5978,' keivan'
201.56,18.02,-1.09,3.96,0.02,-6.01,0.2,0.66,0.91,0.71,0.0856,0.0648,0.0199,0.0127,0.0093,0.0078,0.0072,0.0082,0.0084,0.011,0.0071,0.0097,0.0091,0.0133,0.0218,0.0549,0.0749,0.5733,' keivan'
200.71,10.16,-1.4,8.62,0.03,-5.19,0.04,0.82,0.98,0.86,0.031,0.028,0.0247,0.0279,0.0292,0.0418,0.0532,0.0689,0.0729,0.0666,0.0455,0.0368,0.0303,0.0323,0.0316,0.0245,0.0445,0.3095,' keivan'
202.9,9.97,-1.83,10.94,0.04,-5.08,0.04,0.86,0.98,0.84,0.0333,0.0296,0.0256,0.0265,0.0285,0.0388,0.048,0.0644,0.0614,0.0576,0.0406,0.0333,0.0257,0.0311,0.0332,0.0284,0.0488,0.3442,' keivan'
206.51,8.33,-2.5,20.05,0.04,-4.83,0.03,0.94,0.99,0.72,0.0339,0.0342,0.023,0.0228,0.0217,0.0299,0.038,0.0503,0.0546,0.0541,0.036,0.0291,0.0237,0.0297,0.0362,0.0356,0.0507,0.3956,' keivan'
200.75,10.51,-2.93,23.16,0.04,-5,0.05,0.84,0.98,0.83,0.0354,0.0325,0.0225,0.0231,0.0227,0.0319,0.0419,0.055,0.058,0.056,0.0389,0.0327,0.0276,0.0316,0.0322,0.0309,0.0482,0.3779,' keivan'
206.33,9.87,-1.32,8.19,0.03,-5.21,0.07,0.89,0.97,0.6,0.0644,0.0587,0.0204,0.0129,0.0099,0.0096,0.0085,0.0097,0.0111,0.0134,0.0107,0.0124,0.0124,0.0175,0.0262,0.0545,0.0704,0.5764,' keivan'
206.74,9.45,-2.11,14.98,0.04,-4.95,0.03,0.91,0.98,0.8,0.0352,0.0289,0.0223,0.0252,0.0273,0.0367,0.046,0.0589,0.0602,0.06,0.0451,0.0389,0.0306,0.0341,0.0375,0.0309,0.0556,0.3257,' keivan'
203.67,9.98,-1.66,11.55,0.03,-5.14,0.05,0.87,0.98,0.79,0.0452,0.0365,0.0272,0.0293,0.0285,0.0316,0.0364,0.0434,0.0432,0.0418,0.0285,0.0256,0.0237,0.0264,0.035,0.0376,0.0542,0.405,' keivan'
185.93,15.22,-1.28,5.77,0.02,-5.81,0.27,0.53,0.87,0.63,0.0812,0.0653,0.0191,0.0119,0.0087,0.0073,0.0069,0.006,0.0069,0.01,0.0061,0.0083,0.0095,0.0152,0.0269,0.053,0.0749,0.5818,' keivan'
206.56,9.75,-1.25,7.71,0.03,-5.2,0.07,0.89,0.97,0.58,0.0668,0.0566,0.0198,0.0136,0.0099,0.0091,0.0078,0.0096,0.0107,0.0133,0.0097,0.0124,0.0121,0.0177,0.026,0.0542,0.0714,0.5787,' keivan'
212.32,9.85,-0.58,3.7,0.03,-5.29,0.07,0.83,0.96,0.72,0.0623,0.0554,0.0202,0.0132,0.0113,0.0109,0.0104,0.0112,0.013,0.0168,0.0124,0.0154,0.0153,0.0188,0.0278,0.0529,0.0676,0.5641,' keivan'
193.26,15.4,-0.74,3.96,0.02,-5.91,0.11,0.64,0.95,0.84,0.067,0.0554,0.0186,0.0143,0.0124,0.0117,0.0116,0.013,0.0151,0.0171,0.0129,0.0149,0.0156,0.0195,0.0288,0.0525,0.0671,0.5515,' keivan'
199.17,13.85,-1.02,5.34,0.02,-5.74,0.19,0.68,0.91,0.6,0.0829,0.0651,0.0166,0.0101,0.0076,0.0061,0.0058,0.0063,0.0064,0.0101,0.0068,0.0093,0.0089,0.0152,0.0263,0.0555,0.0714,0.5888,' keivan'
215.46,8.32,-1.47,13.67,0.05,-4.72,0.07,0.86,0.96,0.65,0.0638,0.0552,0.0198,0.0119,0.009,0.0085,0.0086,0.0084,0.01,0.0125,0.0085,0.0113,0.0114,0.0169,0.0276,0.0582,0.0741,0.5835,' keivan'
196.33,14.55,-0.53,5.72,0.02,-5.8,0.25,0.6,0.88,0.59,0.0777,0.0664,0.0142,0.0087,0.0057,0.0052,0.0052,0.0066,0.0076,0.0097,0.0071,0.0093,0.0094,0.0131,0.0238,0.0565,0.0679,0.6048,' keivan'
207.49,13.95,-1.07,3.62,0.03,-5.6,0.1,0.76,0.95,0.76,0.0661,0.0538,0.0223,0.0153,0.0135,0.013,0.0128,0.0143,0.0161,0.0191,0.0146,0.0165,0.0156,0.0195,0.0294,0.0487,0.0674,0.5412,' keivan'
211.74,9.93,-0.5,3.53,0.03,-5.31,0.07,0.83,0.96,0.72,0.0644,0.0539,0.0207,0.0135,0.0113,0.0108,0.0108,0.0119,0.0133,0.0164,0.013,0.0154,0.0148,0.0197,0.0264,0.0524,0.0681,0.5624,' keivan'
208.59,11.78,-1.06,6.48,0.03,-5.46,0.12,0.82,0.94,0.6,0.0783,0.066,0.0158,0.0113,0.0078,0.0067,0.0061,0.0064,0.0079,0.01,0.0069,0.0089,0.0096,0.017,0.0253,0.054,0.0727,0.5883,' keivan'
196.59,13.78,-0.93,5.09,0.02,-5.73,0.12,0.69,0.94,0.78,0.0673,0.0559,0.0186,0.012,0.011,0.0107,0.0102,0.0118,0.0121,0.0156,0.012,0.0155,0.0148,0.0196,0.0282,0.0527,0.0675,0.5637,' keivan'
198.47,13.45,-1.25,6.53,0.02,-5.66,0.17,0.7,0.92,0.66,0.0787,0.0647,0.0169,0.011,0.0079,0.0071,0.0062,0.0068,0.0073,0.0115,0.0073,0.0098,0.0106,0.0155,0.0272,0.053,0.0703,0.5875,' keivan'
213.67,10.22,-1.72,9.94,0.05,-4.98,0.09,0.84,0.96,0.64,0.0679,0.0588,0.017,0.0112,0.0081,0.0069,0.0069,0.0069,0.0091,0.0121,0.008,0.0105,0.0119,0.0167,0.0284,0.0596,0.0736,0.5857,' keivan'
217.1,7.4,-0.71,11.83,0.05,-4.66,0.09,0.82,0.95,0.63,0.067,0.058,0.0184,0.0109,0.0076,0.0065,0.0063,0.0064,0.008,0.0108,0.0064,0.0097,0.0095,0.0156,0.0252,0.0594,0.0742,0.5992,' keivan'
196.92,20.88,-0.74,3.12,0.02,-6.23,0.21,0.59,0.9,0.77,0.0779,0.0657,0.015,0.01,0.0059,0.0052,0.005,0.0052,0.0071,0.009,0.0064,0.0089,0.0104,0.0157,0.0256,0.0554,0.0712,0.5993,' keivan'
194.59,14.11,-0.73,5.22,0.02,-5.78,0.24,0.58,0.89,0.63,0.0795,0.0647,0.0152,0.0082,0.006,0.0054,0.0047,0.0054,0.0059,0.0089,0.0063,0.0086,0.0092,0.0146,0.025,0.054,0.0698,0.6078,' keivan'
8.52,17.05,12.89,182.75,0.15,-3.25,0.01,0.98,1,0.98,0.0504,0.0443,0.0223,0.0135,0.0076,0.0077,0.0073,0.0082,0.0072,0.0111,0.0065,0.0092,0.0091,0.02,0.0345,0.0606,0.1215,0.5583,' black'
20.33,23.05,3.32,17.37,0.04,-5.28,0.17,0.83,0.97,0.81,0.041,0.0403,0.0206,0.0133,0.0121,0.0164,0.0255,0.0438,0.051,0.0439,0.0265,0.022,0.0168,0.0175,0.0246,0.0462,0.0747,0.4626,' black'
13.04,16.38,5.1,35.85,0.07,-4.56,0.07,0.93,0.98,0.83,0.0439,0.0427,0.0155,0.0097,0.0094,0.0146,0.017,0.0233,0.0244,0.0231,0.0151,0.015,0.012,0.0166,0.0239,0.0575,0.0932,0.5421,' black'
32.54,25.36,1.02,3.45,0.02,-6.25,0.07,0.62,0.97,0.95,0.0397,0.0322,0.0255,0.0185,0.0181,0.0261,0.0405,0.0693,0.087,0.0689,0.0408,0.0308,0.0216,0.0214,0.0249,0.0343,0.0516,0.3479,' black'
26.93,28.26,3.06,20.25,0.02,-6.03,0.07,0.7,0.97,0.95,0.0372,0.0325,0.0234,0.0173,0.017,0.0231,0.0379,0.0616,0.0771,0.0648,0.0401,0.028,0.019,0.0199,0.0244,0.0346,0.0572,0.3841,' black'
14.24,18.02,10.09,133.15,0.04,-4.89,0.01,0.96,0.99,0.97,0.0488,0.0422,0.0238,0.0149,0.0125,0.0137,0.0152,0.0187,0.0208,0.0225,0.0158,0.0151,0.0138,0.0186,0.0292,0.0471,0.1295,0.4966,' black'
29.64,20.85,1.24,4.26,0.02,-5.92,0.06,0.67,0.97,0.93,0.0374,0.0334,0.0226,0.016,0.0167,0.0248,0.0385,0.0641,0.0783,0.0624,0.0363,0.0249,0.0183,0.0192,0.0232,0.037,0.0574,0.3888,' black'
14.27,13.72,3.37,18.08,0.06,-4.68,0.03,0.91,0.98,0.88,0.0498,0.0449,0.0222,0.0133,0.0132,0.017,0.021,0.0276,0.0297,0.028,0.0172,0.0151,0.0126,0.0167,0.027,0.0539,0.0829,0.5071,' black'
9.56,6.92,3.48,38.13,0.07,-4.38,0.01,0.99,1,0.72,0.0552,0.048,0.0241,0.0141,0.0104,0.0105,0.0099,0.0117,0.0114,0.0146,0.0102,0.0115,0.0112,0.017,0.0298,0.0565,0.1052,0.5476,' black'
22.16,18,2.54,10.37,0.04,-5.18,0.04,0.82,0.98,0.94,0.0456,0.0415,0.0244,0.0159,0.0138,0.0182,0.0246,0.0345,0.0418,0.0364,0.0228,0.0199,0.0157,0.019,0.0284,0.0494,0.0784,0.469,' black'
11.99,9.47,3.19,18.33,0.05,-4.68,0.01,0.96,1,0.92,0.052,0.0477,0.0239,0.0138,0.0108,0.012,0.0148,0.0175,0.0195,0.0202,0.0123,0.0128,0.0112,0.0168,0.0301,0.0585,0.092,0.5332,' black'
6.43,6.81,6.72,64.08,0.13,-3.51,0.01,0.98,0.99,0.73,0.0531,0.0466,0.0225,0.0119,0.0078,0.0083,0.0077,0.0085,0.0082,0.0109,0.0066,0.0086,0.0083,0.016,0.032,0.0564,0.1273,0.5583,' black'
11.83,16.8,12.6,182.07,0.08,-4.17,0,1,1,1,0.0523,0.048,0.0223,0.0144,0.01,0.0092,0.0094,0.0101,0.0103,0.0143,0.0099,0.0117,0.0112,0.0201,0.0334,0.0574,0.0971,0.558,' black'
10.3,4.95,4.08,34.1,0.1,-3.8,0.01,0.99,1,0.66,0.0591,0.0495,0.021,0.0108,0.0082,0.0078,0.009,0.0084,0.0076,0.0104,0.0062,0.0082,0.0073,0.0149,0.0311,0.068,0.1098,0.5618,' black'
11.64,7.68,4.17,41.44,0.06,-4.38,0.01,0.98,0.99,0.74,0.0538,0.0455,0.0233,0.0136,0.0097,0.0107,0.0126,0.0168,0.024,0.032,0.0161,0.0142,0.0098,0.0144,0.0267,0.0567,0.0907,0.5285,' black'
15.48,15.87,2.87,13.71,0.04,-5.23,0.06,0.88,0.98,0.85,0.0452,0.0398,0.0175,0.0115,0.0122,0.0182,0.0248,0.0341,0.0428,0.0412,0.0243,0.0189,0.0147,0.0163,0.0222,0.0449,0.086,0.4847,' black'
18.14,19.16,2.31,9.34,0.04,-5.47,0.08,0.82,0.97,0.86,0.0411,0.0376,0.0187,0.0143,0.0148,0.0204,0.0303,0.0474,0.0531,0.046,0.0281,0.0221,0.0154,0.0168,0.0217,0.0432,0.0797,0.4487,' black'
25.81,22.31,1.55,5.28,0.02,-5.94,0.1,0.7,0.95,0.89,0.0425,0.0375,0.0181,0.0139,0.0165,0.023,0.0347,0.0583,0.0696,0.0528,0.0308,0.0227,0.0173,0.0186,0.0215,0.042,0.0582,0.421,' black'
30.65,36.31,3.13,14.78,0.04,-5.68,0.09,0.78,0.96,0.97,0.0591,0.0436,0.0319,0.0202,0.0169,0.0164,0.0185,0.0254,0.0374,0.0314,0.0199,0.0188,0.0169,0.0207,0.0301,0.0469,0.0754,0.4694,' black'
57.19,84.6,1.88,4.6,0.06,-4.74,0.07,0.78,0.99,0.99,0.056,0.0352,0.0255,0.0169,0.0112,0.0105,0.0103,0.0119,0.0126,0.0154,0.0111,0.0122,0.012,0.0195,0.0317,0.0504,0.2204,0.4361,' black'
21.48,21.01,6.71,63.2,0.03,-5.43,0.07,0.87,0.97,0.92,0.0691,0.0411,0.0337,0.023,0.0153,0.0135,0.0143,0.016,0.0206,0.0204,0.0132,0.014,0.0135,0.0188,0.0314,0.0526,0.0836,0.5049,' black'
20.23,8.55,9.54,158.93,0.08,-4.06,0.03,0.97,0.99,0.77,0.0613,0.0452,0.0287,0.018,0.0126,0.0124,0.0122,0.0134,0.0125,0.0153,0.011,0.0125,0.0122,0.0187,0.0309,0.0553,0.0962,0.5308,' black'
17.16,17.74,7.79,101.91,0.03,-5.28,0.19,0.87,0.98,0.54,0.0482,0.0392,0.025,0.0159,0.0118,0.0149,0.0183,0.0236,0.0248,0.0239,0.0183,0.0176,0.0164,0.0225,0.0311,0.0474,0.0922,0.508,' black'
19.58,7.84,1.37,14.61,0.04,-4.89,0.04,0.92,0.98,0.7,0.0674,0.0451,0.0299,0.0201,0.0143,0.0127,0.012,0.0122,0.0117,0.0149,0.0108,0.0114,0.0119,0.0186,0.0313,0.0552,0.0837,0.536,' black'
20.05,3.78,3.66,73.37,0.09,-3.77,0.01,0.99,1,0.55,0.0726,0.0484,0.0319,0.0185,0.0113,0.0091,0.0076,0.0072,0.0072,0.0115,0.0069,0.0104,0.0102,0.0182,0.0316,0.0573,0.0907,0.5485,' black'
31.59,16.62,8.58,107.26,0.04,-4.95,0.24,0.67,0.96,0.69,0.0727,0.0439,0.0327,0.0184,0.0123,0.0111,0.0125,0.0131,0.0142,0.0156,0.0101,0.0105,0.0112,0.0168,0.0273,0.0564,0.0835,0.5368,' black'
23.89,22.89,7.77,70.35,0.07,-4.42,0.06,0.92,0.98,0.94,0.0623,0.048,0.027,0.0156,0.0108,0.011,0.0102,0.0105,0.0117,0.0132,0.0081,0.0099,0.0086,0.016,0.0275,0.0603,0.0936,0.5546,' black'
23.58,21.23,8.48,85.37,0.06,-4.65,0.04,0.91,0.98,0.96,0.0707,0.0479,0.03,0.0167,0.0097,0.0081,0.0072,0.0079,0.0083,0.0107,0.007,0.0078,0.0079,0.0157,0.0268,0.0595,0.0919,0.5652,' black'
15.01,15.78,14.49,219.18,0.11,-3.53,0,0.99,1,0.99,0.0731,0.0509,0.028,0.0151,0.0073,0.0064,0.0057,0.0054,0.0054,0.0076,0.006,0.0091,0.0073,0.0142,0.03,0.0602,0.0904,0.5771,' black'
19.44,6.54,9.89,244.06,0.08,-4,0.02,0.96,0.99,0.83,0.0688,0.0452,0.033,0.0194,0.0121,0.0109,0.0102,0.0103,0.0115,0.0148,0.0102,0.0113,0.011,0.0176,0.0331,0.0576,0.0896,0.5325,' black'
21.43,16.66,6.94,74.57,0.04,-5.1,0.16,0.88,0.96,0.72,0.0628,0.0514,0.0169,0.0097,0.0086,0.0094,0.0104,0.0121,0.0137,0.0138,0.009,0.0104,0.0096,0.0122,0.0188,0.0612,0.0848,0.5845,' black'
18.36,13.62,7.25,80,0.04,-4.95,0.05,0.95,0.98,0.83,0.0631,0.0506,0.022,0.0115,0.0076,0.0087,0.0098,0.0103,0.0097,0.0122,0.0088,0.0103,0.0098,0.0142,0.0211,0.0579,0.0854,0.5861,' black'
