@relation mermer4ysciHist-lbp

@attribute Mean numeric
@attribute ' Varyans' numeric
@attribute ' Skewness' numeric
@attribute ' Kurtosis' numeric
@attribute ' Energy1' numeric
@attribute ' Entropy' numeric
@attribute ' Contrast' numeric
@attribute ' Energy2' numeric
@attribute ' Homogeneity' numeric
@attribute ' Correlation' numeric
@attribute ' x0' numeric
@attribute ' x1' numeric
@attribute ' x2' numeric
@attribute ' x3' numeric
@attribute ' x4' numeric
@attribute ' x5' numeric
@attribute ' x6' numeric
@attribute ' x7' numeric
@attribute ' x8' numeric
@attribute ' x9' numeric
@attribute ' x10' numeric
@attribute ' x11' numeric
@attribute ' x12' numeric
@attribute ' x13' numeric
@attribute ' x14' numeric
@attribute ' x15' numeric
@attribute ' x16' numeric
@attribute ' x17' numeric
@attribute ' class ' {' rossolevanto',' onyx',' keivan',' black'}

@data
94.25,48.3,0.81,2.9,0.01,-7.34,0.71,0.34,0.78,0.84,0.0688,0.0547,0.0306,0.0189,0.0139,0.0122,0.0131,0.0141,0.0181,0.0177,0.0128,0.0154,0.0137,0.0172,0.0229,0.0515,0.0801,0.5235,' rossolevanto'
76.79,49.38,1.15,3.65,0.01,-7.25,1,0.33,0.73,0.79,0.0682,0.0596,0.0249,0.0138,0.0103,0.01,0.0099,0.0122,0.0136,0.0137,0.0101,0.0114,0.0101,0.0145,0.0211,0.0577,0.0845,0.5535,' rossolevanto'
49.09,42.54,1.74,5.02,0.02,-6.45,0.31,0.49,0.87,0.92,0.0554,0.0458,0.0295,0.0177,0.0151,0.0159,0.0198,0.0286,0.0411,0.0302,0.0186,0.0165,0.0144,0.0178,0.0258,0.0487,0.0733,0.485,' rossolevanto'
82.9,47.66,0.96,3.34,0.01,-7.37,2.06,0.27,0.63,0.55,0.0828,0.062,0.018,0.0094,0.0057,0.005,0.0051,0.0056,0.0063,0.0091,0.0073,0.0101,0.0089,0.0127,0.0191,0.0648,0.0975,0.5698,' rossolevanto'
44.79,40.21,2.43,8.66,0.02,-6.15,0.45,0.53,0.88,0.87,0.0531,0.0502,0.024,0.0138,0.0119,0.0148,0.0173,0.025,0.0343,0.0258,0.0153,0.0144,0.0126,0.0156,0.0222,0.0512,0.0785,0.519,' rossolevanto'
64.04,47.9,1.13,3.11,0.01,-6.84,0.56,0.37,0.8,0.89,0.0595,0.0498,0.0317,0.0202,0.0171,0.0174,0.0178,0.023,0.0298,0.0263,0.0165,0.0157,0.0144,0.0177,0.0252,0.0503,0.0751,0.4914,' rossolevanto'
55.58,49.43,1.57,4.31,0.02,-6.68,0.33,0.47,0.87,0.94,0.0543,0.0453,0.0315,0.0206,0.0172,0.0181,0.0209,0.0288,0.0426,0.0333,0.0185,0.0171,0.0149,0.0188,0.0256,0.0478,0.0719,0.4719,' rossolevanto'
50.99,39.07,2.16,7.21,0.03,-6.16,0.28,0.51,0.88,0.91,0.0581,0.0505,0.0298,0.0165,0.0133,0.0145,0.0163,0.0222,0.0294,0.0248,0.0148,0.0145,0.0125,0.0164,0.0263,0.0527,0.0788,0.5079,' rossolevanto'
78.28,57.34,0.96,2.49,0.01,-7.04,0.42,0.39,0.84,0.94,0.0553,0.0457,0.0326,0.0219,0.0185,0.0185,0.0219,0.0322,0.0463,0.036,0.0206,0.0167,0.0159,0.0188,0.0246,0.0452,0.0691,0.4592,' rossolevanto'
64.76,48.38,1.54,4.21,0.02,-6.4,0.34,0.5,0.86,0.92,0.0598,0.0516,0.0301,0.0168,0.0131,0.0147,0.0163,0.0253,0.0339,0.0289,0.0157,0.0142,0.0127,0.0166,0.0235,0.0513,0.0772,0.4972,' rossolevanto'
63.19,37.53,1.87,6.17,0.02,-6.57,1.39,0.53,0.75,0.49,0.0804,0.0596,0.0171,0.0097,0.0064,0.0053,0.0053,0.0051,0.0057,0.0082,0.0053,0.0067,0.0049,0.0089,0.0139,0.0709,0.1067,0.5791,' rossolevanto'
43.54,51.1,1.94,6.17,0.02,-6.52,1.12,0.6,0.8,0.78,0.0665,0.0544,0.0209,0.0121,0.0105,0.0109,0.0122,0.0127,0.0141,0.0151,0.0126,0.012,0.0108,0.0136,0.02,0.0637,0.107,0.5301,' rossolevanto'
40.84,44.66,1.95,6.87,0.02,-6.7,0.9,0.55,0.81,0.76,0.0663,0.0568,0.0204,0.0113,0.0087,0.0096,0.0106,0.0108,0.0111,0.0135,0.0099,0.0107,0.0106,0.0131,0.0197,0.0624,0.1172,0.5366,' rossolevanto'
32.86,47.06,2.22,7.83,0.03,-6.17,0.97,0.65,0.82,0.75,0.0627,0.054,0.0226,0.0138,0.0112,0.0115,0.0114,0.0124,0.0122,0.0142,0.011,0.0114,0.0105,0.0131,0.0188,0.0604,0.1193,0.5286,' rossolevanto'
62.21,30.15,1.7,9.1,0.01,-6.73,0.54,0.45,0.81,0.71,0.0726,0.0587,0.0221,0.0114,0.008,0.0074,0.0072,0.0075,0.0085,0.0107,0.0076,0.0089,0.0079,0.0121,0.0178,0.0619,0.0883,0.5803,' rossolevanto'
43.85,38.05,2.49,10.44,0.02,-6.53,0.77,0.49,0.82,0.75,0.0672,0.056,0.0197,0.0111,0.0098,0.0093,0.0085,0.0093,0.0099,0.0107,0.0064,0.0073,0.0067,0.0101,0.016,0.0669,0.099,0.575,' rossolevanto'
37.93,51.04,2.14,7.11,0.02,-6.39,0.93,0.64,0.82,0.81,0.064,0.0537,0.0214,0.0113,0.0101,0.0118,0.0115,0.0123,0.0155,0.0161,0.0116,0.0112,0.0107,0.0137,0.0188,0.0584,0.1194,0.5277,' rossolevanto'
34.91,48.82,2.24,7.74,0.02,-6.25,1.24,0.66,0.81,0.71,0.0648,0.0519,0.0192,0.0118,0.0097,0.0104,0.0106,0.0117,0.0136,0.0144,0.0105,0.0104,0.0092,0.0116,0.0189,0.0609,0.1383,0.5211,' rossolevanto'
