@relation mix4sci-lbp

@attribute x0 numeric
@attribute ' x1' numeric
@attribute ' x2' numeric
@attribute ' x3' numeric
@attribute ' x4' numeric
@attribute ' x5' numeric
@attribute ' x6' numeric
@attribute ' x7' numeric
@attribute ' x8' numeric
@attribute ' x9' numeric
@attribute ' x10' numeric
@attribute ' x11' numeric
@attribute ' x12' numeric
@attribute ' x13' numeric
@attribute ' x14' numeric
@attribute ' x15' numeric
@attribute ' x16' numeric
@attribute ' x17' numeric
@attribute ' class' {' rossolevanto',' onyx',' keivan',' black'}

@data
0.0589,0.0489,0.0301,0.0181,0.015,0.0161,0.0171,0.0234,0.0315,0.0248,0.0155,0.0142,0.0136,0.0176,0.0253,0.0514,0.0737,0.5038,' rossolevanto'
0.0581,0.0499,0.0277,0.0175,0.0154,0.017,0.0187,0.0251,0.0345,0.0266,0.0166,0.0145,0.0126,0.0165,0.024,0.05,0.0739,0.5003,' rossolevanto'
0.0717,0.0558,0.0177,0.0107,0.0093,0.01,0.0102,0.0119,0.0142,0.015,0.0101,0.0109,0.0088,0.012,0.0181,0.0636,0.0942,0.5549,' rossolevanto'
0.065,0.0518,0.0323,0.0182,0.0141,0.0132,0.0137,0.015,0.0185,0.0182,0.0143,0.016,0.015,0.0191,0.0243,0.0513,0.0766,0.5225,' rossolevanto'
0.0675,0.0523,0.0364,0.0204,0.0152,0.0132,0.0119,0.0138,0.018,0.0194,0.0162,0.0165,0.0158,0.0204,0.0277,0.0506,0.0764,0.5073,' rossolevanto'
0.0575,0.0543,0.0301,0.0161,0.0139,0.0146,0.0154,0.0201,0.0234,0.0219,0.0178,0.0177,0.0144,0.0184,0.0253,0.0509,0.0738,0.5135,' rossolevanto'
0.0668,0.0509,0.0366,0.0212,0.0157,0.0142,0.0141,0.015,0.0166,0.0189,0.0141,0.0161,0.0143,0.0197,0.0271,0.051,0.0774,0.5094,' rossolevanto'
0.0691,0.0536,0.0332,0.0201,0.0146,0.0126,0.0128,0.0157,0.0186,0.0191,0.014,0.0147,0.0133,0.0173,0.0248,0.0524,0.0774,0.5158,' rossolevanto'
0.0624,0.054,0.0336,0.0191,0.0158,0.0149,0.0149,0.017,0.0209,0.0213,0.0151,0.0152,0.0143,0.0182,0.0267,0.0525,0.0752,0.5081,' rossolevanto'
0.0686,0.0488,0.0392,0.0229,0.0176,0.015,0.0145,0.0155,0.0172,0.0202,0.0168,0.0174,0.018,0.0206,0.0285,0.0492,0.0764,0.4928,' rossolevanto'
0.0614,0.0518,0.0357,0.0191,0.0141,0.0148,0.0156,0.0202,0.0254,0.0238,0.0167,0.0173,0.0147,0.0195,0.0257,0.0501,0.0785,0.4949,' rossolevanto'
