@relation mix4sci

@attribute Mean numeric
@attribute ' Varyans' numeric
@attribute ' Skewness' numeric
@attribute ' Kurtosis' numeric
@attribute ' Energy1' numeric
@attribute ' Entropy' numeric
@attribute ' Contrast' numeric
@attribute ' Energy2' numeric
@attribute ' Homogeneity' numeric
@attribute ' Correlation' numeric
@attribute ' Class' {' rossolevanto',' onyx',' keivan',' black'}

@data
154.93,9.07,-0.73,2.86,0.04,-5.06,0.08,0.67,0.96,0.84,' onyx'
132.29,23.51,-0.45,2.47,0.01,-6.49,0.23,0.49,0.89,0.81,' onyx'
135.34,16.15,0.02,3.43,0.02,-6.05,0.2,0.59,0.9,0.7,' onyx'
171.74,12.07,-1.35,6.11,0.03,-5.46,0.08,0.83,0.96,0.73,' onyx'
164.01,14.81,-1.19,4.82,0.02,-5.75,0.15,0.67,0.93,0.74,' onyx'
151.03,23.82,0.01,3.56,0.01,-6.5,0.12,0.55,0.94,0.9,' onyx'
138.11,18.87,-0.71,3.41,0.02,-6.2,0.19,0.6,0.91,0.76,' onyx'
134.98,28.27,-0.44,3.2,0.01,-6.77,0.14,0.52,0.93,0.92,' onyx'
111.29,27.16,-1.56,5.01,0.02,-6.35,0.21,0.54,0.9,0.87,' onyx'
141.65,20.46,-0.52,6.56,0.02,-6.15,0.13,0.66,0.94,0.86,' onyx'
175.86,27.47,0.02,2.9,0.01,-6.8,0.3,0.44,0.88,0.82,' onyx'
148.41,30.88,0.2,2.35,0.01,-6.94,0.35,0.39,0.85,0.83,' onyx'
190.03,14.14,-1.4,5.91,0.02,-5.66,0.14,0.6,0.93,0.79,' onyx'
180.89,17.79,-0.53,2.99,0.02,-6.08,0.11,0.6,0.94,0.86,' onyx'
182.95,16.87,-0.57,3.2,0.02,-6.05,0.1,0.62,0.95,0.87,' onyx'
201.55,9.23,-0.66,2.63,0.03,-5.08,0.05,0.82,0.97,0.8,' onyx'
195.35,5.78,0.05,2.4,0.05,-4.53,0.08,0.75,0.96,0.76,' onyx'
204.6,6.4,-0.67,3.02,0.05,-4.65,0.03,0.95,0.99,0.64,' onyx'
198.87,9.41,-0.38,3.01,0.03,-5.11,0.08,0.77,0.96,0.77,' onyx'
197.14,10.95,-0.54,3.03,0.03,-5.31,0.06,0.74,0.97,0.85,' onyx'
199.67,8.61,-0.54,3.24,0.03,-5.06,0.1,0.8,0.95,0.66,' onyx'
164.13,28.53,0.08,2.6,0.01,-6.85,0.23,0.45,0.9,0.87,' onyx'
145.83,27.98,0.13,1.99,0.01,-6.73,0.14,0.47,0.93,0.92,' onyx'
175.07,17.36,-0.77,3.43,0.02,-6.07,0.11,0.64,0.94,0.85,' onyx'
152.56,24.57,-0.03,3.02,0.01,-6.49,0.11,0.54,0.95,0.92,' onyx'
184.63,11.29,-0.84,3.45,0.03,-5.42,0.12,0.66,0.94,0.78,' onyx'
